ted_id,youtube_id,headline_dist,ted_speaker,yt_speaker,ted_headline,yt_headline
2293,wfW3aZCFfLA,0.0130,Jimmy Carter,Jimmy Carter,Why I believe the mistreatment of women is the number one human rights abuseA,Why I believe the mistreatment of women is the number one human rights abuse
2164,3zqZPujAPuc,0.0149,Fredy Peccerelli,Fredy Peccerelli,"A forensic anthropologist who brings closure for theA ""disappeared""","A forensic anthropologist who brings closure for the ""disappeared"""
1916,0Y8-IzP01lw,0.0167,Nicolas Perony,Nicolas Perony,"Puppies! Now that Iave got your attention, complexity theory","Puppies! Now that I've got your attention, complexity theory"
2316,_qgSz1UmcBM,0.0172,Jim Al-Khalili,Jim Al-Khalili,How quantum biology might explain lifeas biggest questions,How Quantum Biology Might Explain Life's Biggest Questions
1771,nLeeTVmVrtA,0.0172,Joseph Kim,Joseph Kim,The family I lost in North Korea. And the family I gained.,The family I lost in North Korea. And the family I gained
2212,ygmlKMQ8kc4,0.0185,Alison Killing,Alison Killing,"Thereas a better way to die, and architecture can help","There's a better way to die, and architecture can help"
2024,lyR-K2CZIHQ,0.0185,Zak Ebrahim,Zak Ebrahim,I am the son of a terrorist. Here's how I chose peace.,I am the son of a terrorist. Here's how I chose peace
2141,_XJ20tt5nPQ,0.0204,Mark Plotkin,Mark Plotkin,What the people of the Amazon know that you donat,What the people of the Amazon know that you don't
1819,SF242mxtZN8,0.0208,Sonia Shah,Sonia Shah,3 reasons we still havenat gotten rid of malaria,3 reasons we still haven't gotten rid of malaria
2175,v84pD2g3gSk,0.0222,Khadija Gbla,Khadija Gbla,My motheras strange definition of empowerment,My mother's strange definition of empowerment
1952,zLNXIXingyU,0.0222,Richard Ledgett,Richard Ledgett,The NSA responds to Edward Snowdenas TED Talk,The NSA responds to Edward Snowden's TED Talk
80,5KdOPY1Iqiw,0.0238,Juan Enriquez,Juan Enriquez,The life code that will reshape the future,The life-code that will reshape the future
1929,NoCOagL69_s,0.0244,Michael Metcalfe,Michael Metcalfe,We need money for aid. So letas print it.,We need money for aid. So let's print it.
2099,JFQLvbVJVMg,0.0244,Susan Colantuono,Susan Colantuono,The career advice you probably didnat get,The career advice you probably didn't get
1320,sHJZRPWXQ9s,0.0250,"Lauren Hodge, Shree Bose + Naomi Shah","Lauren Hodge, Shree Bose + Naomi Shah",Award-winning teenage science in action,Award-winning teen-age science in action
686,I7QwxbImhZI,0.0256,Devdutt Pattanaik,Devdutt Pattanaik,East vs. West -- the myths that mystify,East vs west -- the myths that mystify
1898,buRLc2eWGPQ,0.0256,Maysoon Zayid,Maysoon Zayid,I got 99 problems ... palsy is just one,I got 99 problems... palsy is just one
2295,xkFTZcUPjBg,0.0263,Memory Banda,Memory Banda,A warrioras cry against child marriage,A Warrior's Cry Against Child Marriage
2076,dJEwC4wCM70,0.0263,Rishi Manchanda,Rishi Manchanda,What makes us get sick? Look upstream,What makes us get sick? Look upstream.
2232,J5jwEyDaR-0,0.0263,Takaharu Tezuka,Takaharu Tezuka,The best kindergarten youave ever seen,The best kindergarten you've ever seen
594,wJttdkKo4nM,0.0270,Kary Mullis,Kary Mullis,A next-gen cure for killer infections,A next-gen cure for killer infection
2029,GtXyGFMBWBs,0.0270,Shaka Senghor,Shaka Senghor,Why your worst deeds donat define you,Why your worst deeds don't define you
1510,xEtXItg9hEE,0.0278,Jamie Drummond,Jamie Drummond,Let's crowdsource the world's goals,Let's crowd-source the world's goals
2178,ce31WjiVcY0,0.0286,Ben Ambridge,Ben Ambridge,"10 myths about psychology, debunked",10 myths about psychology: debunked
734,pZni9Kx9Jfw,0.0286,Kartick Satyanarayan,Kartick Satyanarayan,"How we rescued the ""dancing"" bears""","How we rescued the ""dancing"" bears"
2225,6Af6b_wyiwI,0.0294,Bill Gates,Bill Gates,The next outbreak? Weare not ready,The next outbreak? We're not ready
2249,6-tqiaPoS2U,0.0303,Anand Varma,Anand Varma,The first 21 days of a beeas life,The first 21 days of a bee's life
2030,0SkdP36wiAU,0.0313,Lorrie Faith Cranor,Lorrie Faith Cranor,Whatas wrong with your pa$$w0rd?,What's wrong with your pa$$w0rd?
2108,c64M1tZyWPM,0.0313,Myriam Sidibe,Myriam Sidibe,The simple power of hand-washing,The simple power of handwashing
2133,lVQ3KUTHDe0,0.0323,Leana Wen,Leana Wen,What your doctor wonat disclose,What your doctor won't disclose
1883,NCJTV5KaJJc,0.0323,Sally Kohn,Sally Kohn,Letas try emotional correctness,Let's try emotional correctness
1904,ihoR9B7p-1Q,0.0345,Harish Manwani,Harish Manwani,Profitas not always the point,Profit's not always the point
313,PzyAP4zLb6w,0.0357,Marisa Fick-Jordan,Marisa Fick-Jordan,The wonder of Zulu wire art,The wonders of Zulu wire art
643,jKl0tb3VmfQ,0.0370,Taryn Simon,Taryn Simon,Photographs of secret sites,Photograph of secret sites
2026,KOIsqRgJ3XM,0.0385,Avi Reichental,Avi Reichental,Whatas next in 3D printing,What's next in 3D printing
1553,uebxlIrosiM,0.0385,Candy Chang,Candy Chang,Before I die I want to ...,Before I die I want to...
1793,y9wzax_PtIo,0.0385,Kate Stone,Kate Stone,DJ decks made of ... paper,DJ decks made of... paper
1953,mArrNRWQEso,0.0385,Larry Page,Larry Page,Whereas Google going next?,Where's Google going next?
1542,mk3K_Vrve-E,0.0385,Scilla Elworthy,Scilla Elworthy,Fighting with nonviolence,Fighting with non-violence
114,VDX3RgokKxU,0.0385,Tom Rielly,Tom Rielly,A comic sendup of TED2006,A comic send-up of TED2006
1964,aSL-iIskEFU,0.0400,Bill and Melinda Gates,Bill and Melinda Gates,Why giving away our wealth has been the most satisfying thing we've done,Why giving away our wealth has been the most satisfying thing we've done...
1047,DqbM1ZrpTQg,0.0405,Deborah Rhodes,Deborah Rhodes,"A test that finds 3x more breast tumors, and why it's not available to you","A tool that finds 3x more breast tumors, and why it's not available to you"
1913,rYwTA5RA9eU,0.0417,Anant Agarwal,Anant Agarwal,Why massive open online courses (still) matter,Why massively open online courses (still) matter
1687,sa1iS1MqUy4,0.0426,Shane Koyczan,Shane Koyczan,To This Day ... for the bullied and beautiful,"""To This Day"" ... for the bullied and beautiful"
1477,YFC5CwZVCEw,0.0455,Sarah Parcak,Sarah Parcak,Archaeology from space,Archeology from space
1715,3Z6x5t5A9so,0.0513,Joshua Prager,Joshua Prager,In search of the man who broke my neck,In search for the man who broke my neck
689,EiTrl0W1QrM,0.0526,Shashi Tharoor,Shashi Tharoor,Why nations should pursue soft power,"Why nations should pursue ""soft"" power"
684,8mPpe8AL21A,0.0588,Cynthia Schneider,Cynthia Schneider,The surprising spread of Idol TV,"The surprising spread of ""Idol"" TV"
1773,Kn5JRgz3W0o,0.0588,Margaret Heffernan,Margaret Heffernan,The dangers of willful blindness,"The dangers of ""willful blindness"""
572,CgNx9Bgac1I,0.0606,Richard St. John,Richard St. John,Success is a continuous journey,"""Success is a continuous journey"""
622,Uwl012o8P7I,0.0612,Cary Fowler,Cary Fowler,"One seed at a time, protecting the future of food","One seed at a time, protecting the future of f"
1259,rFAdlU2ETjU,0.0625,Paul Zak,Paul Zak,"Trust, morality -- and oxytocin?","Trust, morality - and oxytocin"
418,GQDQ9rUx-6g,0.0645,Jay Walker,Jay Walker,My library of human imagination,A library of human imagination
1356,X9NFPZGyDPg,0.0667,Tyrone Hayes + Penelope Jagessar Chaffer,Tyrone Hayes + Penelope Jagessar Chaffer,The toxic baby,The toxic baby?
1061,cmlRinjYKfM,0.0690,Liza Donnelly,Liza Donnelly,Drawing on humor for change,Drawing upon humor for change
2107,zMGE3mbS9NY,0.0741,Alessandra Orofino,Alessandra Orofino,Itas our city. Letas fix it,It's our city. Let's fix it
1902,2-Ev4rU27HY,0.0750,Frederic Kaplan,Frederic Kaplan,How to build an information time machine,How I built an information time machine
1149,IDkSDPgrtjs,0.0833,Edith Widder,Edith Widder,"The weird, wonderful world of bioluminescence",The weird and wonderful world of bioluminescence
435,atn22-bmTPU,0.0833,Paula Scher,Paula Scher,"Great design is serious, not solemn",Great design is serious (not solemn)
2599,1S9RVl1d-l4,0.0851,Adam de la Zerda,Adam de la Zerda,How we can start winning the war against cancer,We can start winning the war against cancer
91,8k_XH-ajLo0,0.0857,Jacqueline Novogratz,Jacqueline Novogratz,Invest in Africa's own solutions,Investing in Africa's own solutions
2596,0d6iSvF1UmA,0.0909,Sayu Bhojwani,Sayu Bhojwani,How immigrant voices make democracy stronger,Immigrant voices make democracy stronger
548,9X68dm92HVI,0.1026,Dan Ariely,Dan Ariely,Are we in control of our own decisions?,Are we in control of our decisions?
2211,AE0gO5w-aok,0.1045,Vincent Cochetel,Vincent Cochetel,I was held hostage for 317 days. Here's what I thought aboutAC/a!A|,I was held hostage for 317 days. Here's what I thought about...
1485,IzPcu0-ETTU,0.1111,E.O. Wilson,E.O. Wilson,Advice to a young scientist,Advice to young scientists
355,UdyRmdv-KiY,0.1250,Rodney Brooks,Rodney Brooks,Robots will invade our lives,How robots will invade our lives
2100,7hQ0rgVfsP8,0.1273,Daria van den Bercken,Daria van den Bercken,Why I take the piano on the road AC/a!A| and in the air,Why I take the piano on the road ... and in the air
1468,u7SWcQaoaRQ,0.1282,Diane Kelly,Diane Kelly,What we didn't know about penis anatomy,What we didn't know about male anatomy
127,-YpticqS9-8,0.1351,Ngozi Okonjo-Iweala,Ngozi Okonjo-Iweala,Want to help Africa? Do business here,How to help Africa? Do business there
207,-bdf1NnDZ8M,0.1364,Paola Antonelli,Paola Antonelli,Treat design as art,Treating design as art
296,hU446HDtGv8,0.1389,Nellie McKay,Nellie McKay,"""Mother of Pearl,"" ""If I Had You""","""Mother of Pearl"" and ""If I Had You"""
2415,lQflBowgVB4,0.1395,Elizabeth Lev,Elizabeth Lev,The unheard story of the Sistine Chapel,The unheard story behind the Sistine Chapel
1973,MlLWTeApqIM,0.1404,David Brooks,David Brooks,Should you live for your rA(c)sumA(c) ... or your eulogy?,Should you live for your resume ... or your eulogy?
2377,hJnEQCMA5Sg,0.1406,Genevieve von Petzinger,Genevieve von Petzinger,Why are these 32 symbols found in ancient caves all over Europe?,Why are these 32 symbols found in caves all over Europe
715,WNDWYW4yWEM,0.1471,Charles Anderson,Charles Anderson,Dragonflies that fly across oceans,Dragonflies that cross oceans
2144,ux1GxExRUUY,0.1486,Rainer Strack,Rainer Strack,The workforce crisis of 2030 -- and how to start solving it now,The surprising workforce crisis of 2030 -- and how to start solving it now
761,IRxgDMSp9Gs,0.1500,David Agus,David Agus,A new strategy in the war on cancer,A new strategy in the war against cancer
1866,SjsG-NgmleA,0.1522,Jane McGonigal,Jane McGonigal,Massively multi-playerAC/a!A| thumb-wrestling?,Massively multi-player... thumb-wrestling?
365,IESYMFtLIis,0.1538,Jared Diamond,Jared Diamond,Why do societies collapse?,Why societies collapse
320,nyLYQYHGbvI,0.1628,Kwabena Boahen,Kwabena Boahen,A computer that works like the brain,Making a computer that works like the brain
1457,O0JDDyqtSVY,0.1628,Shereen El-Feki,Shereen El-Feki,HIV -- how to fight an epidemic of bad laws,How to fight an epidemic of bad laws
501,zHuH8P_Vqc0,0.1667,Jacek Utko,Jacek Utko,Can design save newspapers?,Can design save the newspaper?
315,V-TGxJI4JwA,0.1667,Louise Leakey,Louise Leakey,A dig for humanity's origins,Digging for humanity's origins
230,vc8Ks6KOySg,0.1667,Nicholas Negroponte,Nicholas Negroponte,"5 predictions, from 1984","5 predictions, in 1984"
1167,Hy4yby7ZAd0,0.1702,JD Schramm,JD Schramm,Break the silence for suicide attempt survivors,Break the silence for suicide survivors
2245,R5PHGMRoZMA,0.1724,Tal Danino,Tal Danino,Programming bacteria to detect cancer (and maybe treat it),We can use bacteria to detect cancer (and maybe treat it)
2145,2tBuvxXxlS4,0.1778,Barbara Natterson-Horowitz,Barbara Natterson-Horowitz,What veterinarians know that physicians don't,What veterinarians know that doctors don't
2288,CXvUdCdKTJY,0.1791,Gayle Tzemach Lemmon,Gayle Tzemach Lemmon,Meet the women fighting on the front lines of an American war,Meet the first women to fight on the front lines of an American war
399,3j1CSYZrV-Q,0.1875,Charles Elachi,Charles Elachi,The story behind the Mars Rovers,The story of the Mars Rovers
299,DRmW03Rd8xM,0.1875,Corneille Ewango,Corneille Ewango,A hero of the Congo forest,A hero of the Congo Basin forest
1959,CDsNZJTWw0w,0.1875,Hugh Herr,Hugh Herr,"The new bionics that let us run, climb and dance","New bionics let us run, climb and dance"
920,F8bM8K7W_R8,0.1887,Dimitar Sasselov,Dimitar Sasselov,How we found hundreds of potential Earth-like planets,How we found hundreds of Earth-like planets
1262,fZ8eyWBQmfU,0.1892,Marco Tempest,Marco Tempest,"Augmented reality, techno-magic",The augmented reality of techno-magic
483,HHwXlcHcTHc,0.1923,Stuart Brown,Stuart Brown,Play is more than just fun,Play is more than fun
1950,yVwAodrjZMY,0.1944,Edward Snowden,Edward Snowden,Here's how we take back the Internet,How we take back the internet
1085,0PAy1zBtTbw,0.2000,JR,JR,My wish: Use art to turn the world inside out,Use art to turn the world inside out
54,PdcqEjmuxjA,0.2045,Cameron Sinclair,Cameron Sinclair,My wish: A call for open-source architecture,A call for open-source architecture
936,Yn9fTc_WMbo,0.2093,Seth Priebatsch,Seth Priebatsch,The game layer on top of the world,Building the game layer on top of the world
33,d3xlb6_0OEs,0.2195,Thomas Barnett,Thomas Barnett,Let's rethink America's military strategy,Rethinking America's military strategy
1910,vhVWzkbAW4I,0.2258,Paula Johnson,Paula Johnson,His and hers AC/a!A| healthcare,His and hers ... healthcare
64,NQvMQEB0j_A,0.2353,Eve Ensler,Eve Ensler,Happiness in body and soul,Finding happiness in body and soul
128,nuXJFbJNltg,0.2439,John Doerr,John Doerr,Salvation (and profit) in greentech,Seeking salvation and profit in greentech
2298,FETryXMpDl8,0.2500,Alaa Murabit,Alaa Murabit,What my religion really says about women,What Islam really says about women
228,Eg_ToU7m1MI,0.2500,Alan Kay,Alan Kay,A powerful idea about ideas,A powerful idea about teaching ideas
5,teV6Oa6mVPE,0.2500,Chris Bangle,Chris Bangle,Great cars are great art,Great cars are Art
471,19Hj93IgbeQ,0.2500,Richard Pyle,Richard Pyle,A dive into the reef's Twilight Zone,Exploring the reef's Twilight Zone
362,Y-SBzQnFx7A,0.2500,Steven Johnson,Steven Johnson,The Web as a city,The Web and the city
893,dBxvZwJZgdM,0.2558,Aditi Shankardass,Aditi Shankardass,A second opinion on developmental disorders,A second opinion on learning disorders
914,7gouSXt2zE4,0.2609,Carl Safina,Carl Safina,The oil spill's unseen villains -- and victims,"The oil spill's unseen culprits, victims"
176,eneJXqmh3g0,0.2609,Paul MacCready,Paul MacCready,A flight on solar wings,Flying on solar wings
149,HTdY_3wyKMs,0.2727,Allison Hunt,Allison Hunt,How to get (a new) hip,How I got my new hip
439,mPhuj-W8kyE,0.2727,Jamais Cascio,Jamais Cascio,Tools for a better world,Tools for building a better world
247,NgYE75gkzkM,0.2759,Yochai Benkler,Yochai Benkler,The new open-source economics,Open-source economics
2193,F2hc2FLOdhI,0.2766,Guy Winch,Guy Winch,Why we all need to practice emotional first aid,How to practice emotional first aid
2317,a7whovUoYu4,0.2821,Seth Berkley,Seth Berkley,The troubling reason why vaccines are made too late ... if they're made at all,Why Vaccines are Made Too Late... If They're Made At All
1315,XZ3nEK1qSkA,0.2857,Sebastian Wernicke,Sebastian Wernicke,"1,000 TED Talks in six words","1000 TEDTalks, 6 words"
1955,CfqO1U6lfDs,0.2909,Ed Yong,Ed Yong,Zombie roaches and other parasite tales,"Suicidal wasps, zombie roaches and other parasite tales"
970,EL9TBKSdHXU,0.2951,Mechai Viravaidya,Mechai Viravaidya,How Mr. Condom made Thailand a better place for life and love,How Mr. Condom made Thailand a better place
23,HLuv7lsvWco,0.2973,Peter Gabriel,Peter Gabriel,Fight injustice with raw video,Fighting injustice with a videocamera
480,RlQEoJaLQRA,0.2979,Don Norman,Don Norman,3 ways good design makes you happy,The three ways that good design makes you happy
177,W5vka0MRzXs,0.3000,Larry Brilliant,Larry Brilliant,The case for optimism,The case for informed optimism
2180,mqovAg11q-c,0.3030,Brian Dettmer,Brian Dettmer,Old books reborn as art,Old books reborn as intricate art
2142,_1VpOweDio8,0.3099,Oren Yakobovich,Oren Yakobovich,Hidden cameras that film injustice in the worldas most dangerous places,Hidden Cameras Film Injustice in Dangerous Places
3,A6GLw12jywo,0.3103,Ashraf Ghani,Ashraf Ghani,How to rebuild a broken state,How to fix broken states
996,KyamsZXXF2w,0.3143,Tom Chatfield,Tom Chatfield,7 ways games reward the brain,7 ways video games engage the brain
2176,Mo2Ai7ESNL8,0.3188,Zeynep Tufekci,Zeynep Tufekci,"Online social change: easy to organize, hard to win","How the Internet has made social change easy to organize, hard to win"
1436,f_f5wNw-2c0,0.3214,Gary Kovacs,Gary Kovacs,Tracking our online trackers,Tracking the trackers
2314,ni4FV5zL6lM,0.3220,Christopher Soghoian,Christopher Soghoian,How to avoid surveillance ... with the phone in your pocket,How to Avoid Surveillance...With Your Phone
2177,m048uAa8L3k,0.3226,Bruce Aylward,Bruce Aylward,Humanity vs. Ebola. How we could win a terrifying war,Humanity vs. Ebola. The winning strategies in a terrifying war
351,RYsTv-ap3XQ,0.3243,Marvin Minsky,Marvin Minsky,Health and the human mind,"Health, population and the human mind"
84,AGKZhNK_pHw,0.3250,James Nachtwey,James Nachtwey,My wish: Let my photographs bear witness,My photographs bear witness
51,kMTCNOlozTA,0.3333,Amory Lovins,Amory Lovins,Winning the oil endgame,We must win the oil endgame
916,vXPJVwwEmiM,0.3333,Ethan Zuckerman,Ethan Zuckerman,Listening to global voices,How to listen to global voices
440,3lYN_lXU9PA,0.3333,Peter Ward,Peter Ward,A theory of Earth's mass extinctions,Earth's mass extinctions
323,tmHloU_xEJo,0.3333,Spencer Wells,Spencer Wells,A family tree for humanity,Building a family tree for all humanity
519,zGEDHMF4rLI,0.3415,Margaret Wertheim,Margaret Wertheim,The beautiful math of coral,The beautiful math of coral (and crochet)
34,NGRnJ-zhSOk,0.3429,Phil Borges,Phil Borges,Photos of endangered cultures,Documenting our endangered cultures
843,60P7717-XOQ,0.3429,Stephen Wolfram,Stephen Wolfram,Computing a theory of all knowledge,Computing a theory of everything
2047,OP7ENrKYA20,0.3455,Shih Chieh Huang,Shih Chieh Huang,Sculptures thatad be at home in the deep sea,Sculptures that'd be at home at the bottom of the ocean
175,xRb7_ffl2D0,0.3462,Sugata Mitra,Sugata Mitra,Kids can teach themselves,Can kids teach themselves?
2283,Vyn_xLrtZaY,0.3469,Margaret Heffernan,Margaret Heffernan,Forget the pecking order at work,Why it's time to forget the pecking order at work
340,zbOvPUO_UWw,0.3478,Jane Goodall,Jane Goodall,How humans and animals can live together,Helping humans and animals live together in Af
239,8Y9ppbU0864,0.3500,David Hoffman,David Hoffman,Sputnik mania,Catch Sputnik mania!
292,0VJqrlH9cdI,0.3548,Peter Diamandis,Peter Diamandis,Stephen Hawking's zero g flight,Stephen Hawking hits zero g
641,-hFk6FDrZBc,0.3571,Evgeny Morozov,Evgeny Morozov,How the Net aids dictatorships,How the Internet strengthens dictatorships
194,UuRxRGR3VpM,0.3667,Murray Gell-Mann,Murray Gell-Mann,"Beauty, truth and ... physics?",Beauty and truth in physics
2461,1cQbMP3I5Sk,0.3721,Alex Kipman,Alex Kipman,A futuristic vision of the age of holograms,The dawn of the age of holograms
2304,E0k4IQ8fDCY,0.3721,eL Seed,eL Seed,Street art with a message of hope and peace,Street Art for Hope and Peace
1683,vpTHi7O66pI,0.3729,Allan Savory,Allan Savory,How to fight desertification and reverse climate change,How to green the world's deserts and reverse climate change
1779,Mb8x6vLcggc,0.3729,Joel Selanikio,Joel Selanikio,The big-data revolution in healthcare,The surprising seeds of a big-data revolution in healthcare
455,tWmJcR-x_hc,0.3750,Milton Glaser,Milton Glaser,Using design to make ideas new,How great design makes ideas new
349,ag-Oyn8vIPE,0.3793,Laura Trice,Laura Trice,Remember to say thank you,The power of saying thank you
394,Y96w6AFVi0o,0.3793,Lee Smolin,Lee Smolin,Science and democracy,How science is like democracy
1931,LJhklPJz9U8,0.3846,Christopher Ryan,Christopher Ryan,Are we designed to be sexual omnivores?,Are we sexual omnivores?
82,RiJzJ771vDw,0.3846,Dean Kamen,Dean Kamen,"Luke, a new prosthetic arm for soldiers",New prosthetic arm for veterans
241,bEol611ADM8,0.3846,Jakob Trollback,Jakob Trollback,A new kind of music video,Rethinking the music video
433,gK8Yk3mEEb8,0.3846,Peter Reinhart,Peter Reinhart,The art and craft of bread,The art of baking bread
29,5UGC2nLnaes,0.3846,Steven Levitt,Steven Levitt,The freakonomics of crack dealing,The freakonomics of McDonalds vs. drugs
363,vgGmnHHlIXo,0.3947,Doris Kearns Goodwin,Doris Kearns Goodwin,Lessons from past presidents,What we can learn from past presidents
234,SJMm4RAwVLo,0.3953,Karen Armstrong,Karen Armstrong,My wish: The Charter for Compassion,2008 TED Prize wish: Charter for Compassion
361,mfv_hOFT1S4,0.4000,David Perry,David Perry,Are games better than life?,Will videogames become better than life?
531,YnAVjkuQz-Y,0.4091,Brian Cox,Brian Cox,What went wrong at the LHC,What went wrong at the Large Hadron Collider
1093,YeJhVtJKJU8,0.4103,Rob Harmon,Rob Harmon,How to keep rivers and streams flowing,How the market can keep streams flowing
823,vXVCf5VTHrw,0.4250,Natalie Merchant,Natalie Merchant,Singing old poems to life,Natalie Merchant sings old poems to life
2274,9uOMectkCCs,0.4286,Tony Fadell,Tony Fadell,The first secret of design is ... noticing,The first secret of great design
216,d5s3Z0iesRM,0.4333,Howard Rheingold,Howard Rheingold,The new power of collaboration,Way-new collaboration
2159,fHfhorJnAEI,0.4366,Michael Rubinstein,Michael Rubinstein,"See invisible motion, hear silent sounds","See invisible motion, hear silent sounds. Cool? Creepy? We can't decide"
1494,f6CILJA110Y,0.4419,Elyn Saks,Elyn Saks,A tale of mental illness -- from the inside,A tale of mental illness
123,B67LTsGENPQ,0.4444,Stewart Brand,Stewart Brand,What squatter cities can teach us,Why squatter cities are a good thing
1742,os69gEFXUW4,0.4571,Maria Bezaitis,Maria Bezaitis,Why we need strangeness,The surprising need for strangeness
476,rN7VcY1f-1Q,0.4583,Nalini Nadkarni,Nalini Nadkarni,Conserving the canopy,Conserving canopy worlds
506,YWZmqpQi2y4,0.4615,Nathaniel Kahn,Nathaniel Kahn,"Scenes from ""My Architect""","My father, my architect"
185,9ZwNaaJxw40,0.4634,Eleni Gabre-Madhin,Eleni Gabre-Madhin,A commodities exchange for Ethiopia,Building a commodities market in Ethiopia
105,vMKNUylmanQ,0.4667,Jeff Bezos,Jeff Bezos,The electricity metaphor for the web's future,The electricity metaphor
245,QgKCrGvShZs,0.4667,Johnny Lee,Johnny Lee,Free or cheap Wii Remote hacks,Wii remote hacks
348,qXvDLPu5vh0,0.4688,Ann Cooper,Ann Cooper,What's wrong with school lunches,Reinventing the school lunch
529,2lJvr5UL2pQ,0.4722,Laurie Garrett,Laurie Garrett,Lessons from the 1918 flu,What can we learn from the 1918 flu?
41,W5ySOqtxhbw,0.4737,Nicholas Negroponte,Nicholas Negroponte,One Laptop per Child,The vision behind One Laptop Per Child
1426,bf7BXwVeyWw,0.4750,Brian Greene,Brian Greene,Is our universe the only universe?,Why is our universe fine-tuned for life?
139,SuWH0ETXTfE,0.4750,Stephen Lawler,Stephen Lawler,Tour Microsoft's Virtual Earth,Look! Up in the sky! It's Virtual Earth!
282,rZCxdbqMc2Q,0.4762,David Hoffman,David Hoffman,What happens when you lose everything,How would you feel if you lost everything?
1045,3Y2Or0LlO6g,0.4815,Lesley Hazleton,Lesley Hazleton,On reading the Koran,"A ""tourist"" reads the Koran"
210,nbpdcNwrpwc,0.4839,Alison Jackson,Alison Jackson,An unusual glimpse at celebrity,A surprising look at celebrity
260,BS-LyKorcq8,0.4839,Michael Moschen,Michael Moschen,Juggling as art ... and science,Juggling rhythm and motion
59,1VOlXwhp00Y,0.4848,Bono,Bono,My wish: Three actions for Africa,Action for Africa
430,DeyzUysMLy0,0.4865,Greg Lynn,Greg Lynn,Organic algorithms in architecture,How calculus is changing architecture
427,uNYMw9O2bu4,0.4872,John Maeda,John Maeda,My journey in design,"My journey in design, from tofu to RISD"
58,MNhiHf84P9c,0.4884,Larry Brilliant,Larry Brilliant,My wish: Help me stop pandemics,TED Prize wish: Help stop the next pandemic
261,bXQAgzfwuNQ,0.4898,Joshua Klein,Joshua Klein,A thought experiment on the intelligence of crows,The intelligence of crows
2310,3yfFwDq4R5M,0.5000,Alix Generous,Alix Generous,How I learned to communicate my inner life with Asperger's,My Inner Life with Asperger's
575,c_iN_QubRs0,0.5000,Clay Shirky,Clay Shirky,How social media can make history,"How cellphones, Twitter, Facebook can make history"
79,Ixjxvzb2-Fw,0.5000,Iqbal Quadir,Iqbal Quadir,How mobile phones can fight poverty,The power of the mobile phone to end poverty
521,fkPI-Y2Vg5k,0.5000,Nate Silver,Nate Silver,Does racism affect how you vote?,How does race affect votes?
386,PLXsUgL_wpc,0.5000,Newton Aduaka,Newton Aduaka,The story of Ezra,"The story of Ezra, a child soldier"
412,YYtr9us2pGw,0.5000,Nick Sears,Nick Sears,Demo: The Orb,Presenting the Orb
298,D492MbAfBJc,0.5000,Raul Midon,Raul Midon,"""Peace on Earth""","""Everybody"" and ""Peace on Earth"""
