ted_id,youtube_id,headline_dist,ted_speaker,yt_speaker,ted_headline,yt_headline
249,IN88mI8zpSg,0.5106,Ernest Madu,Ernest Madu,World-class health care,Bringing world-class health care to the poorest
200,r3wyCxHtGd0,0.5152,Daniel Goleman,Daniel Goleman,Why aren't we more compassionate?,Why arent we all Good Samaritans?
213,haKh9mCk3xk,0.5152,Jaime Lerner,Jaime Lerner,A song of the city,Sing a song of sustainable cities
1352,kQa11RMCeSI,0.5172,Jack Horner,Jack Horner,Where are the baby dinosaurs?,Shape-shifting dinosaurs
436,tFpANOqSdi8,0.5185,David Carson,David Carson,Design and discovery,"Design, discovery and humor"
2486,kSR8G8mfp84,0.5192,Shivani Siroya,Shivani Siroya,A smart loan for people with no credit history (yet),A smart new business loan for people with no credit
955,X6Zo53M0lcY,0.5263,Chris Anderson,Chris Anderson,How web video powers global innovation,How YouTube is driving innovation
89,0Bvq8Vo8F8U,0.5283,Ben Saunders,Ben Saunders,Why did I ski to the North Pole?,Three things to know before you ski to the North Pole
1837,0iIh5YYDR2o,0.5294,Michael Porter,Michael Porter,The case for letting business solve social problems,Why business can be good at solving social problems
2137,lr-mXnUoUXM,0.5352,Nancy Frates,Nancy Frates,Meet the mom who started the Ice Bucket Challenge,Why my family started the ALS Ice Bucket Challenge. The rest is history
126,Vld1zXGtZGg,0.5366,Tierney Thys,Tierney Thys,Swim with the giant sunfish,Swim with giant sunfish in the open ocean
482,JQ0iMulicgg,0.5405,Aimee Mullins,Aimee Mullins,My 12 pairs of legs,It's not fair having 12 pairs of legs
2,FwFkb1x7FJQ,0.5424,Amy Smith,Amy Smith,Simple designs to save a life,Simple designs that could save millions of childrens' lives
335,sUOBLX55h4s,0.5429,Peter Diamandis,Peter Diamandis,Our next giant leap,Taking the next giant leap in space
1513,QPiaadMporw,0.5439,James Stavridis,James Stavridis,A Navy Admiral's thoughts on global security,How NATO's Supreme Commander thinks about global security
330,0652vE9Q3VQ,0.5455,Ory Okolloh,Ory Okolloh,How I became an activist,The making of an African activist
654,F7oT1gXo5eA,0.5484,Sam Martin,Sam Martin,"Claim your ""manspace""","The quirky world of ""manspaces"""
375,yhHePLaMP_k,0.5500,Virginia Postrel,Virginia Postrel,On glamour,The power of glamour
2075,3BgPFIKCaOQ,0.5510,Shubhendu Sharma,Shubhendu Sharma,"An engineer's vision for tiny forests, everywhere",How to grow a tiny forest anywhere
49,1x0PA0Rnjho,0.5526,Joshua Prince-Ramus,Joshua Prince-Ramus,Behind the design of Seattle's library,Designing the Seattle Central Library
56,U2Dd4k63-zM,0.5577,Edward Burtynsky,Edward Burtynsky,My wish: Manufactured landscapes and green education,Manufactured landscapes
65,ac0E6deG4AU,0.5577,Jeff Han,Jeff Han,The radical promise of the multi-touch interface,Unveiling the genius of multi-touch interface design
1180,kwYxHPXIaao,0.5652,Rajesh Rao,Rajesh Rao,A Rosetta Stone for a lost language,Computing a Rosetta Stone for the Indus script
500,OV_N_eFTaso,0.5667,C.K. Williams,C.K. Williams,Poetry of youth and age,Poetry for all seasons of life
4,nwfSENkvJXY,0.5682,Burt Rutan,Burt Rutan,The real future of space exploration,Entrepreneurs are the future of space flight
192,XkEys3PeseA,0.5714,David Keith,David Keith,A critical look at geoengineering against climate change,"A surprising idea for ""solving"" climate change"
957,-Z-vyLHi2us,0.5741,Jessa Gamble,Jessa Gamble,Our natural sleep cycle is nothing like what we do now,Our natural sleep cycle
927,DUd8XA-5HEk,0.5789,Laurie Santos,Laurie Santos,A monkey economy as irrational as ours,How monkeys mirror human irrationality
350,BOba_zGoZq8,0.5833,Caleb Chung,Caleb Chung,"Playtime with Pleo, your robotic dinosaur friend",Come play with Pleo the dinosaur
1982,UHkEbemburs,0.5846,Will Marshall,Will Marshall,Tiny satellites show us the Earth as it changes in near-real-time,"Tiny satellites that photograph the entire planet, every day"
219,domH58hRzx4,0.5862,Moshe Safdie,Moshe Safdie,Building uniqueness,What makes a building unique?
199,M4vqr3_ROIk,0.5909,Arthur Benjamin,Arthur Benjamin,"A performance of ""Mathemagic""","Lightning calculation and other ""mathemagic"""
31,7-onVz1D_uc,0.5918,Thom Mayne,Thom Mayne,How architecture can connect us,Architecture is a new way to connect to the world
1089,SXKNA_vfHWs,0.5938,Courtney Martin,Courtney Martin,This isn't her mother's feminism,Reinventing feminism
248,6Ly7Btx0Stg,0.6000,Alisa Miller,Alisa Miller,How the news distorts our worldview,The news about the news
1329,9h2dF-IsH0I,0.6000,Clay Shirky,Clay Shirky,Why SOPA is a bad idea,Defend our freedom to share (or why SOPA is a bad idea)
196,xF7cHmyEJ-c,0.6000,David Pogue,David Pogue,The music wars,A 4-minute medley on the music wars
37,WQR0gx0QBZ4,0.6000,Jimmy Wales,Jimmy Wales,The birth of Wikipedia,How a ragtag band created Wikipedia
67,kLmzxmRcUTo,0.6000,Peter Donnelly,Peter Donnelly,How juries are fooled by statistics,How stats fool juries
70,Y6bbMQXQ180,0.6000,Richard St. John,Richard St. John,8 secrets of success,"Secrets of success in 8 words, 3 minutes"
379,fu-IhoOsjkU,0.6047,Paul MacCready,Paul MacCready,Nature vs. humans,"Nature vs. humans, and what we can do about"
225,5ax1iSHp-ro,0.6111,Steve Jurvetson,Steve Jurvetson,Model rocketry,The joy of rockets
820,cfR6tiSW-AM,0.6154,Dennis Hong,Dennis Hong,My seven species of robot -- and how we created them,My 7 species of robot
432,fXYckRgsdjI,0.6154,Scott McCloud,Scott McCloud,The visual magic of comics,Understanding comics
2371,q49LtMyXK7Q,0.6170,Josh Luber,Josh Luber,Why sneakers are a great investment,The secret sneaker market -- and why it matters
170,3-RQ6i0_qRw,0.6176,Jeff Skoll,Jeff Skoll,My journey into movies that matter,Making movies that make change
2006,EEjyPqyFe_s,0.6182,Jon Mooallem,Jon Mooallem,How the teddy bear taught us compassion,The strange story of the teddy bear and what it reveals
1535,zd-dqUuvLk4,0.6190,Kirby Ferguson,Kirby Ferguson,Embrace the remix,Creativity is a remix
1445,Fivy99RtMfM,0.6207,Bart Knols,Bart Knols,3 new ways to kill mosquitoes,"Cheese, dogs and a pill to kill mosquitoes and end malaria"
974,OT9poH_D2Iw,0.6216,Hans Rosling,Hans Rosling,The good news of the decade? We're winning the war against child mortality,The good news of the decade?
235,7vXsynj1QkQ,0.6250,Siegfried Woldhek,Siegfried Woldhek,The search for the true face of Leonardo,The true face of Leonardo Da Vinci?
495,mJxA8eIWQUc,0.6279,David Pogue,David Pogue,Cool tricks your phone can do,Cool new things you can do with your mobile
396,eSn6GP0UhKM,0.6279,Isaac Mizrahi,Isaac Mizrahi,Fashion and creativity,"Fashion, passion, and about a million other"
2587,NqOjj1FCcVY,0.6286,Eric Liu,Eric Liu,Let's make voting fun again,There's no such thing as not voting
188,WtvsqRmvWUo,0.6286,Raul Midon,Raul Midon,"""Tembererana""","""All the Answers"" and ""Tembererana"""
1055,zvwQXwJyaj0,0.6316,Charity Tillemann-Dick,Charity Tillemann-Dick,Singing after a double lung transplant,"After a lung transplant, an aria"
203,waO8KKtVgaQ,0.6327,Yossi Vardi,Yossi Vardi,We're worried about local warming ... in your lap,Help fight local warming
318,H682jmofwZs,0.6364,Reed Kroloff,Reed Kroloff,A tour of modern architecture,"Architecture, modern and romantic"
484,OM6XIICm_qo,0.6364,Tim Berners-Lee,Tim Berners-Lee,The next web,"The next Web of open, linked data"
85,ft24bHtNJwY,0.6379,Bill Clinton,Bill Clinton,My wish: Rebuilding Rwanda,TED Prize wish: Let's build a health care system in Rwanda
68,wcZFIy2mfyE,0.6471,Robert Wright,Robert Wright,Progress is not a zero-sum game,The logic of non-zero-sum progress
12,z42lVW3z1_w,0.6486,Eva Vertes,Eva Vertes,Meet the future of cancer research,My dream about the future of medicine
308,90mj79GqWhc,0.6500,Billy Graham,Billy Graham,On technology and faith,"Technology, faith and human shortcomings"
511,-mQJYte4T2Q,0.6545,Renny Gleeson,Renny Gleeson,Our antisocial phone tricks,Busted! The sneaky moves of antisocial smartphone users
445,2od4mp91q9w,0.6552,Joe DeRisi,Joe DeRisi,Solving medical mysteries,Hunting the next killer virus
413,EZeVtfQ7bpI,0.6579,David Holt,David Holt,The joyful tradition of mountain music,The stories and song of Appalachia
346,pXoHC2D15hM,0.6667,Brewster Kahle,Brewster Kahle,A free digital library,"A digital library, free to the world"
422,aSNrKS-sCE0,0.6667,Steven Strogatz,Steven Strogatz,The science of sync,How things in nature tend to sync up
467,43DuLcBFxoY,0.6667,Sylvia Earle,Sylvia Earle,My wish: Protect our oceans,How to protect the oceans (TED Prize winner!)
2126,0Fi83BHQsMA,0.6724,Jose Miguel Sokoloff,Jose Miguel Sokoloff,How Christmas lights helped guerrillas put down their guns,How we used Christmas lights to fight a war
2308,XTf9Sdrq1zg,0.6735,Rich Benjamin,Rich Benjamin,My road trip through the whitest towns in America,A Black Man in America's Whitest Towns
2305,NgDGlcxYrhQ,0.6739,John Green,John Green,The nerd's guide to learning everything online,Paper towns and why learning is awesome
527,sucza6EOIf0,0.6757,Sarah Jones,Sarah Jones,A one-woman global village,"One woman, eight hilarious characters"
1560,buhMdC7MO0U,0.6757,Scott Fraser,Scott Fraser,Why eyewitnesses get it wrong,The problem with eyewitness testimony
138,zQNfa5xt9Uw,0.6765,Ethel,Ethel,"A string quartet plays ""Blue Room""","""Blue Room"""
416,3GXlvP4kLHg,0.6800,Dennis vanEngelsdorp,Dennis vanEngelsdorp,A plea for bees,Where have the bees gone?
217,yEF_Dicq3c4,0.6800,Eve Ensler,Eve Ensler,What security means to me,Security and insecurity
195,Ascql_RoeBU,0.6818,Robert Full,Robert Full,The sticky wonder of gecko feet,"Secrets of movement, from geckos and roaches"
1080,l5ZJ6bK1EIc,0.6842,Iain Hutchison,Iain Hutchison,Saving faces: A facial surgeon's craft,Saving faces
409,WYRqN1F_DxI,0.6857,Richard Preston,Richard Preston,The mysterious lives of giant trees,Climbing the world's biggest trees
1924,Br1AIvMrvAE,0.6939,David Puttnam,David Puttnam,"Does the media have a ""duty of care""?",What happens when the media's priority is profit?
264,qHU8G6icwsY,0.6957,Robert Ballard,Robert Ballard,The astonishing hidden world of the deep ocean,Exploring the ocean's hidden worlds
406,gvrgD0mAFoU,0.6970,Dan Barber,Dan Barber,A foie gras parable,A surprising parable of foie gras
339,a8AtVBQ8MBE,0.6970,Peter Hirshberg,Peter Hirshberg,"The web is more than ""better TV""","The Web and TV, a sibling rivalry"
36,_2Js_g7M60M,0.6970,Robert Neuwirth,Robert Neuwirth,The hidden world of shadow cities,"The ""shadow cities"" of the future"
2307,nzj7Wg4DAbs,0.6970,Yuval Noah Harari,Yuval Noah Harari,What explains the rise of humans?,Why humans run the world
353,lzDBrMisLm0,0.6977,David S. Rose,David S. Rose,How to pitch to a VC,10 things to know before you pitch a VC for
2384,TdQ1eaZH-J8,0.7000,Jessica Shortall,Jessica Shortall,The US needs paid family leave -- for the sake of its future,How America Fails New Parents -- and Their Babies
952,py1RrSdVt5A,0.7027,Ben Cameron,Ben Cameron,Why the live arts matter,The true power of the performing arts
218,X-ywH1Vj8_U,0.7027,Pamelia Kurstin,Pamelia Kurstin,The untouchable music of the theremin,"Theremin, the untouchable music"
13,FWuix2tbk9Q,0.7059,Frank Gehry,Frank Gehry,"A master architect asks, Now what?",Nice building. Then what?
8,i_C7jcJEo5U,0.7073,David Rockwell,David Rockwell,A memorial at Ground Zero,Building the Ground Zero viewing platform
18,n77BfxnVlyc,0.7091,Janine Benyus,Janine Benyus,Biomimicry's surprising lessons from nature's engineers,12 sustainable design ideas from nature
14,pANJjkU0Whw,0.7097,Golan Levin,Golan Levin,Software (as) art,The truly soft side of software
980,3GBrJiSMFu0,0.7115,Natalie Jeremijenko,Natalie Jeremijenko,The art of the eco-mindshift,Let's teach fish to text! and other outlandish ideas
441,W7_Zhcd1Vlk,0.7143,Sherwin Nuland,Sherwin Nuland,The extraordinary power of ordinary people,A meditation on hope
1774,UMhLBPPtlrY,0.7174,Peter Attia,Peter Attia,Is the obesity crisis hiding a bigger problem?,What if we're wrong about diabetes?
2182,k4vzhweOefs,0.7174,Ricardo Semler,Ricardo Semler,How to run a company with (almost) no rules,"Radical wisdom for a company, a school, a life"
24,FOZ6KnVPvIU,0.7179,Pilobolus,Pilobolus,"A dance of ""Symbiosis""",A performance merging dance and biology
75,18r6nchs91E,0.7179,Sasa Vucinic,Sasa Vucinic,Why we should invest in a free press,Why a free press is the best investment
472,ScJVrV6bk1g,0.7222,Miru Kim,Miru Kim,My underground art explorations,Making art of New York's urban ruins
391,NlYJQ0psZYA,0.7273,John Francis,John Francis,Walk the earth ... my 17-year vow of silence,I walk the Earth
2042,cK74vhqzeeQ,0.7273,Karima Bennoune,Karima Bennoune,When people of Muslim heritage challenge fundamentalism,The side of terrorism that doesn't make headlines
2362,KOtFDsC8JC0,0.7273,Nancy Lublin,Nancy Lublin,How data from a crisis text line is saving lives,The Heartbreaking Text That Inspired a Crisis Help Line
141,-Bn6Gel7yEs,0.7297,Bill Stone,Bill Stone,I'm going to the moon. Who's with me?,The caves and the moon
157,H6kBP9b3I90,0.7297,Jacqueline Novogratz,Jacqueline Novogratz,Patient capitalism,"Tackling poverty with ""patient capita"
421,NWvXyobH9fg,0.7297,Penelope Boston,Penelope Boston,There might just be life on Mars,Life on Mars? Let's look in the caves
57,wiUS82JBu80,0.7324,Robert Fischell,Robert Fischell,My wish: Three unusual medical inventions,"TED Prize wish: Finding new cures for migraine, depression, malpractice"
402,Tq000rAZBMc,0.7333,Stewart Brand,Stewart Brand,The Long Now,Building a home for the Clock of the Long Now
478,OFSNR8t5KdY,0.7368,Eric Lewis,Eric Lewis,Piano jazz that rocks,Striking chords to rock the jazz world
411,Zw7zA-RV5yE,0.7368,Larry Burns,Larry Burns,The future of cars,Reinventing the car
2302,wAIP6fI0NAI,0.7381,Jon Ronson,Jon Ronson,When online shaming spirals out of control,How one tweet can ruin your life
131,Ntg1Gpgjk-A,0.7429,Anand Agarawala,Anand Agarawala,Rethink the desktop with BumpTop,BumpTop desktop is a beautiful mess
410,lHXXsEtE3b4,0.7436,Philip Rosedale,Philip Rosedale,Life in Second Life,"Second Life, where anything is possible"
424,U6MhV5Rn63M,0.7442,Jennifer 8. Lee,Jennifer 8. Lee,The hunt for General Tso,Who was General Tso? and other mysteries of
333,5hJCxSiH4ts,0.7442,Jonathan Drori,Jonathan Drori,What we think we know,Why we don't understand as much as we think
10,RTIY66IPjdY,0.7451,Dean Ornish,Dean Ornish,The killer American diet that's sweeping the planet,The world's killer diet
165,lMkHYE9-R0A,0.7500,Hod Lipson,Hod Lipson,"Building ""self-aware"" robots","Robots that are ""self-aware"""
55,QCFSrb6B5nw,0.7500,Jehane Noujaim,Jehane Noujaim,My wish: A global day of film,TEDPrize wish: Unite the world on Pangea Day
1830,-Qe8cR4Jl10,0.7500,Kevin Breel,Kevin Breel,Confessions of a depressed comic,Why we need to talk about depression
899,ooAIIeo4AJQ,0.7500,Stephen Palumbi,Stephen Palumbi,Hidden toxins in the fish we eat,Following the mercury trail
221,3l2QopJbDBs,0.7556,George Dyson,George Dyson,The story of Project Orion,Let's take a nuclear-powered rocket to Saturn
523,qBHIT9yEPh4,0.7561,Erik Hersman,Erik Hersman,Reporting crisis via texting,How texting helped Kenyans survive crisis
152,bG2QKbpjDqo,0.7568,Ngozi Okonjo-Iweala,Ngozi Okonjo-Iweala,Aid versus trade,Let's have a deeper discussion on aid
2074,05jJodDVJRQ,0.7586,Colin Grant,Colin Grant,How our stories cross over,The son of a difficult father
381,T3vZbEJXCAE,0.7586,Kristen Ashburn,Kristen Ashburn,The face of AIDS in Africa,Heartrending pictures of AIDS
1612,nn5k4snG3rA,0.7600,Jeff Hancock,Jeff Hancock,The future of lying,3 types of (digital) lies
1698,QoyBYYpal1Y,0.7609,Jessica Green,Jessica Green,We're covered in germs. Let's design for that.,Good germs make healthy buildings
954,evfgbVjb688,0.7609,Rob Dunbar,Rob Dunbar,Discovering ancient climates in oceans and ice,The threat of ocean acidification
101,zjyKc1d_uRE,0.7632,Caroline Lavelle,Caroline Lavelle,Casting a spell on the cello,A cello performance that casts a spell
331,WhGG__boRxU,0.7632,Paul Rothemund,Paul Rothemund,"DNA folding, in detail",The astonishing promise of DNA folding
359,hB6ZbC53tVc,0.7636,Liz Diller,Liz Diller,The Blur Building and other tech-empowered architecture,Architecture is a special effects machine
6,E5X6Qy772YU,0.7647,Craig Venter,Craig Venter,Sampling the ocean's DNA,"A voyage of DNA, genes and the sea"
9,VSWBcizzpKM,0.7647,Dean Kamen,Dean Kamen,To invent is to give,"Rolling along, helping students and the third world"
99,9zcSdv3j7zs,0.7647,Jill Sobule,Jill Sobule,"Global warming's theme song, ""Manhattan in January""",A happy song about global warming
297,bpi6us7wQfE,0.7647,Rick Smolan,Rick Smolan,The story of a girl,"A girl, a photograph, a homecoming"
254,U_ob8SBXF_E,0.7647,They Might Be Giants,They Might Be Giants,Wake up!,Wake up! It's They Might Be Giants
255,d21Eyvhk9Z4,0.7667,Hector Ruiz,Hector Ruiz,The thinking behind 50x15,The power to connect the world
268,8oVT8jg1R6s,0.7692,Seyi Oyesola,Seyi Oyesola,A hospital tour in Nigeria,Health care off the grid
1350,X31eYIhoMNQ,0.7692,Stephen Coleman,Stephen Coleman,"Non-lethal weapons, a moral hazard?",The moral dangers of non-lethal weapons
143,xGXt3GUJ-9w,0.7708,Emily Oster,Emily Oster,Flip your thinking on AIDS in Africa,What do we really know about the spread of AIDS?
499,mMEPV-NTeZs,0.7736,Nathan Wolfe,Nathan Wolfe,The jungle search for viruses,Why we have virus outbreaks & how we can prevent them
276,gR4UlNoOrlc,0.7750,Murray Gell-Mann,Murray Gell-Mann,The ancestor of language,Do all languages have a common ancestor?
212,-tzZB6RbXsY,0.7755,Robin Chase,Robin Chase,The idea behind Zipcar (and what comes next),Getting cars off the road and data into the skies
468,EszGIvRdgTE,0.7778,Jill Tarter,Jill Tarter,Join the SETI search,Why the search for alien intelligence matters
90,5n-APFrlXDs,0.7778,Neil Gershenfeld,Neil Gershenfeld,Unleash your creativity in a Fab Lab,The beckoning promise of personal fabrication
156,J-KfKxCaDVA,0.7778,Patrick Awuah,Patrick Awuah,How to educate leaders? Liberal arts,Educating a new generation of African leaders
183,Yn1snjEtk54,0.7778,Paul Rothemund,Paul Rothemund,Playing with DNA that self-assembles,Casting spells with DNA
517,iPE2_iCCo0w,0.7778,Tim Ferriss,Tim Ferriss,"Smash fear, learn anything",How to feel like the Incredible Hulk
231,Sp7ZjH2IHJ8,0.7826,Frank Gehry,Frank Gehry,My days as a young rebel,"From 1990, defending a vision for architecture"
270,VhAD0dMslB8,0.7826,Paul Collier,Paul Collier,"The ""bottom billion""","4 ways to improve the lives of the ""bottom bil"
426,LNOtiRB3uyk,0.7838,Kary Mullis,Kary Mullis,Play! Experiment! Discover!,Celebrating the scientific experiment
77,RHTTIg7HY80,0.7838,Sheila Patek,Sheila Patek,The shrimp with a kick!,Measuring the fastest animal on earth
69,bL7vK0pOvKI,0.7838,Wade Davis,Wade Davis,Dreams from endangered cultures,Cultures at the far edge of the world
1576,XE_FPEFpHt4,0.7857,Andrew Blum,Andrew Blum,Discover the physical side of the internet,"What is the Internet, really?"
1117,P0uG8YF_NiM,0.7857,Jackson Browne,Jackson Browne,A song inspired by the ocean,"""If I Could Be Anywhere"""
374,8W51H1croBw,0.7857,John Hodgman,John Hodgman,"Aliens, love -- where are they?",A brief digression on matters of lost time
343,eIs5CKzckq0,0.7879,David Gallo,David Gallo,Life in the deep oceans,The deep oceans: a ribbon of life
1073,zO-aCQ6xH-8,0.7879,Geert Chatrou,Geert Chatrou,A whistleblower you haven't heard,World champion whistler
364,US76l775sLU,0.7879,James Burchfield,James Burchfield,Playing invisible turntables,Sound stylings by a human beatbox
1958,mAvSoNUgMno,0.7885,Del Harvey,Del Harvey,Protecting Twitter users (sometimes from themselves),The strangeness of scale at Twitter
403,_IlPme5LUtE,0.7885,Franco Sacchi,Franco Sacchi,"A tour of Nollywood, Nigeria's booming film industry",Welcome to Nollywood
1701,uKByBgqxOw4,0.7895,Colin Camerer,Colin Camerer,"When you're making a deal, what's going on in your brain?","Neuroscience, game theory, monkeys"
2557,CDdpQSLr7YE,0.7925,Ed Boyden,Ed Boyden,Baby diapers inspired this new way to study the brain,A new way to study the brain's invisible secrets
151,ZnepHUYFqgg,0.7949,George Ayittey,George Ayittey,Africa's cheetahs versus hippos,Cheetahs vs. Hippos for Africa's future
1433,8OnsjVdEuRk,0.7949,Liz Diller,Liz Diller,A new museum wing ... in a giant bubble,A giant bubble for debate
48,81qHa3gJB3E,0.7949,Saul Griffith,Saul Griffith,Everyday inventions,Hardware solutions to everyday problems
1032,g_CSsL3it9Y,0.7955,Kiran Bedi,Kiran Bedi,A police chief with a difference,How I remade one of India's toughest prisons
1152,4v4XxlfVk3o,0.7959,Aaron Koblin,Aaron Koblin,Visualizing ourselves ... with crowd-sourced data,Artfully visualizing our humanity
1410,cC0KxNeLp1E,0.7959,Chip Kidd,Chip Kidd,"Designing books is no laughing matter. OK, it is.",The hilarious art of book design
215,seD2MuBTNuI,0.8000,David Macaulay,David Macaulay,An illustrated journey through Rome,All roads lead to Rome Antics
648,YPLGuwXomYQ,0.8000,Garik Israelian,Garik Israelian,How spectroscopy could reveal alien life,What's inside a star?
923,vMKNUylmanQ,0.8000,Jeff Bezos,Jeff Bezos,What matters more than your talents,The electricity metaphor
429,Ei5oOEoGlIM,0.8000,Paul Moller,Paul Moller,My dream of a flying car,Take a ride in the Skycar
223,cRYzjqchNKo,0.8000,Raspyni Brothers,Raspyni Brothers,Juggle and jest,Welcome to Vaudeville 2.0
395,_lZ55gHabAA,0.8000,Samantha Power,Samantha Power,A complicated hero in the war on dictatorship,Shaking hands with the devil
159,RfobLjsj230,0.8056,Andrew Mwenda,Andrew Mwenda,Aid for Africa? No thanks.,Let's take a new look at African aid
509,TVfmUfr8VPA,0.8056,Bonnie Bassler,Bonnie Bassler,"How bacteria ""talk""","The secret, social lives of bacteria"
347,uKabYHpXlDw,0.8065,Carmen Agra Deedy,Carmen Agra Deedy,"Once upon a time, my mother ...",Spinning a story of Mama
168,JVbl-IaklIo,0.8065,Zeresenay Alemseged,Zeresenay Alemseged,The search for humanity's roots,Finding the origins of humanity
489,fOk6HQaNpdE,0.8095,Bruce McCall,Bruce McCall,What is retro-futurism?,Nostalgia for a future that never happened
345,zIT1f3CrZag,0.8095,Keith Bellows,Keith Bellows,The camel's hump,Celebrating the camel
44,Yd9cf_vLviI,0.8103,Nick Bostrom,Nick Bostrom,A philosophical quest for our biggest problems,Humanity's biggest problems aren't what you think they are
949,dk60sYrU2RU,0.8125,Sugata Mitra,Sugata Mitra,The child-driven education,New experiments in self-teaching
122,eXndL3TNCmo,0.8158,David Kelley,David Kelley,Human-centered design,The future of design is human-centered
388,HZCeqs-fR60,0.8158,Graham Hawkes,Graham Hawkes,A flight through the ocean,Fly the seas on a submarine with wings
280,BUmOKfllAEo,0.8158,Robert Full,Robert Full,Robots inspired by cockroach ingenuity,Engineering and evolution
360,X6laJ2rzgh4,0.8182,James Nachtwey,James Nachtwey,Moving photos of extreme drug-resistant TB,Use my photographs to stop the worldwide XDR
117,RzP_kIXsuvA,0.8182,Natalie MacMaster,Natalie MacMaster,Cape Breton fiddling in reel time,Playing the Cape Breton fiddle
94,DTepA-WV_oE,0.8200,Dan Dennett,Dan Dennett,Let's teach religion -- all religion -- in schools,Responding to Pastor Rick Warren
1361,L9_c1j9VRwE,0.8205,Paul Conneally,Paul Conneally,How mobile phones power disaster relief,Digital humanitarianism
1184,-vo01ldlTQc,0.8214,Nathan Myhrvold,Nathan Myhrvold,Cooking as never seen before,Cut your food in half
171,bGV5-DJ5_QU,0.8222,Deborah Scranton,Deborah Scranton,An Iraq war movie crowd-sourced from soldiers,"Scenes from ""The War Tapes"""
154,3yfz8yTXKXI,0.8261,Euvin Naidoo,Euvin Naidoo,Why invest in Africa,Africa as an investment
450,TSMzKg6fwJ8,0.8293,Bill Gross,Bill Gross,A solar energy system that tracks the sun,Great ideas for finding new energy
232,UNbP7O6jasw,0.8293,Neil Turok,Neil Turok,My wish: Find the next Einstein in Africa,2008 TED Prize wish: An African Einstein
61,KvHL0dHj3RM,0.8298,Steven Johnson,Steven Johnson,"How the ""ghost map"" helped end a killer disease",A guided tour of the Ghost Map
1991,FJJe8PXEUhk,0.8333,Marco Tempest,Marco Tempest,"And for my next trick, a robot",Maybe the best robot demo ever
78,GzOQLDwUAC8,0.8409,Al Seckel,Al Seckel,Visual illusions that show how we (mis)think,Powerful visual illusions
27,sWqkKYwvTNw,0.8421,Ross Lovegrove,Ross Lovegrove,"Organic design, inspired by nature",The power and beauty of organic design
300,ySRvKzZsDqw,0.8421,Torsten Reil,Torsten Reil,Animate characters by evolving them,Using biology to make better animation
179,FQDBfcfFMik,0.8438,Kenichi Ebina,Kenichi Ebina,My magic moves,Hip-hop dance and a little magic
174,jNgkEGs1l4A,0.8438,Norman Foster,Norman Foster,My green agenda for architecture,Building on the green agenda
271,l13ezJ9rsAQ,0.8462,Nathan Myhrvold,Nathan Myhrvold,"Archeology, animal photography, BBQ ...",A life of fascinations
428,TgxLl-jBAjY,0.8462,Paul Sereno,Paul Sereno,Digging up dinosaurs,What can fossils teach us?
437,_xJXZBCOWMY,0.8519,Barry Schuler,Barry Schuler,Genomics 101,An introduction to genomics
87,FMkJVXi7Rp8,0.8667,Ze Frank,Ze Frank,Nerdcore comedy,What's so funny about the Web?
21,RlBTxuWCuL8,0.8780,Mena Trott,Mena Trott,Meet the founder of the blog revolution,How blogs are building a friendlier world
544,JNJlhtNpuiU,0.9000,Naturally 7,Naturally 7,A full-band beatbox,Beatbox a whole band
1802,Ht2fzax9wV0,0.9024,Peter van Manen,Peter van Manen,Better baby care -- thanks to Formula 1,How can Formula 1 racing help ... babies?
